Game Name, Month, Day, Year, Num1, Num2, Num3, Num4, Sum It Up
Daily 4 Morning,10,23,2013,0,5,0,0,5,
Daily 4 Morning,10,24,2013,0,7,5,6,18,
Daily 4 Morning,10,25,2013,0,5,2,8,15,
Daily 4 Morning,10,26,2013,5,0,7,2,14,
Daily 4 Morning,10,28,2013,8,5,5,4,22,
Daily 4 Morning,10,29,2013,2,0,8,5,15,
Daily 4 Morning,10,30,2013,3,2,3,6,14,
Daily 4 Morning,10,31,2013,2,1,0,0,3,
Daily 4 Morning,11,1,2013,1,7,7,3,18,
Daily 4 Morning,11,2,2013,9,2,6,5,22,
Daily 4 Morning,11,4,2013,3,7,0,9,19,
Daily 4 Morning,11,5,2013,5,1,3,6,15,
Daily 4 Morning,11,6,2013,8,8,2,8,26,
Daily 4 Morning,11,7,2013,5,8,1,1,15,
Daily 4 Morning,11,8,2013,4,8,4,7,23,
Daily 4 Morning,11,9,2013,1,1,1,6,9,
Daily 4 Morning,11,11,2013,9,1,1,4,15,
Daily 4 Morning,11,12,2013,7,1,4,9,21,
Daily 4 Morning,11,13,2013,6,6,4,2,18,
Daily 4 Morning,11,14,2013,0,1,3,3,7,
Daily 4 Morning,11,15,2013,0,7,2,6,15,
Daily 4 Morning,11,16,2013,4,6,4,2,16,
Daily 4 Morning,11,18,2013,5,0,0,8,13,
Daily 4 Morning,11,19,2013,5,0,9,2,16,
Daily 4 Morning,11,20,2013,9,4,4,1,18,
Daily 4 Morning,11,21,2013,5,0,1,3,9,
Daily 4 Morning,11,22,2013,9,3,0,0,12,
Daily 4 Morning,11,23,2013,7,6,9,8,30,
Daily 4 Morning,11,25,2013,3,3,2,4,12,
Daily 4 Morning,11,26,2013,7,4,8,4,23,
Daily 4 Morning,11,27,2013,0,5,4,0,9,
Daily 4 Morning,11,28,2013,5,2,8,3,18,
Daily 4 Morning,11,29,2013,9,0,0,9,18,
Daily 4 Morning,11,30,2013,6,6,9,7,28,
Daily 4 Morning,12,2,2013,8,5,6,5,24,
Daily 4 Morning,12,3,2013,8,6,1,3,18,
Daily 4 Morning,12,4,2013,1,2,9,8,20,
Daily 4 Morning,12,5,2013,9,7,0,3,19,
Daily 4 Morning,12,6,2013,2,5,0,9,16,
Daily 4 Morning,12,7,2013,8,7,3,3,21,
Daily 4 Morning,12,9,2013,4,6,8,6,24,
Daily 4 Morning,12,10,2013,1,3,5,6,15,
Daily 4 Morning,12,11,2013,4,0,6,4,14,
Daily 4 Morning,12,12,2013,6,8,9,5,28,
Daily 4 Morning,12,13,2013,4,2,3,1,10,
Daily 4 Morning,12,14,2013,3,3,6,0,12,
Daily 4 Morning,12,16,2013,5,9,8,4,26,
Daily 4 Morning,12,17,2013,8,5,5,3,21,
Daily 4 Morning,12,18,2013,3,3,0,9,15,
Daily 4 Morning,12,19,2013,8,5,3,6,22,
Daily 4 Morning,12,20,2013,7,0,2,1,10,
Daily 4 Morning,12,21,2013,9,7,2,9,27,
Daily 4 Morning,12,23,2013,1,6,7,3,17,
Daily 4 Morning,12,24,2013,8,1,4,5,18,
Daily 4 Morning,12,25,2013,2,5,4,0,11,
Daily 4 Morning,12,26,2013,3,7,2,1,13,
Daily 4 Morning,12,27,2013,6,1,5,6,18,
Daily 4 Morning,12,28,2013,7,1,2,8,18,
Daily 4 Morning,12,30,2013,7,1,3,9,20,
Daily 4 Morning,12,31,2013,6,3,7,2,18,
Daily 4 Morning,1,1,2014,1,3,7,0,11,
Daily 4 Morning,1,2,2014,1,7,4,7,19,
Daily 4 Morning,1,3,2014,2,7,1,4,14,
Daily 4 Morning,1,4,2014,1,4,2,3,10,
Daily 4 Morning,1,6,2014,1,2,6,5,14,
Daily 4 Morning,1,7,2014,4,9,6,0,19,
Daily 4 Morning,1,8,2014,1,7,0,1,9,
Daily 4 Morning,1,9,2014,6,0,7,2,15,
Daily 4 Morning,1,10,2014,8,1,9,5,23,
Daily 4 Morning,1,11,2014,6,6,2,7,21,
Daily 4 Morning,1,13,2014,3,2,1,9,15,
Daily 4 Morning,1,14,2014,6,7,8,0,21,
Daily 4 Morning,1,15,2014,8,1,0,2,11,
Daily 4 Morning,1,16,2014,5,2,1,8,16,
Daily 4 Morning,1,17,2014,9,2,8,7,26,
Daily 4 Morning,1,18,2014,2,3,4,4,13,
Daily 4 Morning,1,20,2014,4,1,2,7,14,
Daily 4 Morning,1,21,2014,9,4,2,4,19,
Daily 4 Morning,1,22,2014,2,7,8,3,20,
Daily 4 Morning,1,23,2014,5,3,7,0,15,
Daily 4 Morning,1,24,2014,1,1,0,9,11,
Daily 4 Morning,1,25,2014,0,4,3,0,7,
Daily 4 Morning,1,27,2014,0,8,9,7,24,
Daily 4 Morning,1,28,2014,3,8,7,3,21,
Daily 4 Morning,1,29,2014,4,4,1,7,16,
Daily 4 Morning,1,30,2014,8,3,0,8,19,
Daily 4 Morning,1,31,2014,3,9,2,9,23,
Daily 4 Morning,2,1,2014,6,5,0,6,17,
Daily 4 Morning,2,3,2014,7,2,9,2,20,
Daily 4 Morning,2,4,2014,2,8,7,8,25,
Daily 4 Morning,2,5,2014,3,8,4,9,24,
Daily 4 Morning,2,6,2014,8,5,1,9,23,
Daily 4 Morning,2,7,2014,1,3,6,3,13,
Daily 4 Morning,2,8,2014,6,9,4,2,21,
Daily 4 Morning,2,10,2014,5,7,7,1,20,
Daily 4 Morning,2,11,2014,6,2,9,1,18,
Daily 4 Morning,2,12,2014,0,5,8,3,16,
Daily 4 Morning,2,13,2014,2,8,5,0,15,
Daily 4 Morning,2,14,2014,7,4,6,9,26,
Daily 4 Morning,2,15,2014,1,4,0,6,11,
Daily 4 Morning,2,17,2014,0,5,4,1,10,
Daily 4 Morning,2,18,2014,4,9,3,7,23,
Daily 4 Morning,2,19,2014,5,9,9,8,31,
Daily 4 Morning,2,20,2014,2,2,9,6,19,
Daily 4 Morning,2,21,2014,1,5,6,6,18,
Daily 4 Morning,2,22,2014,4,8,8,3,23,
Daily 4 Morning,2,24,2014,5,8,1,8,22,
Daily 4 Morning,2,25,2014,4,3,0,5,12,
Daily 4 Morning,2,26,2014,4,5,6,6,21,
Daily 4 Morning,2,27,2014,0,5,0,4,9,
Daily 4 Morning,2,28,2014,0,9,5,0,14,
Daily 4 Morning,3,1,2014,5,4,3,9,21,
Daily 4 Morning,3,3,2014,6,3,6,8,23,
Daily 4 Morning,3,4,2014,9,9,9,1,28,
Daily 4 Morning,3,5,2014,5,8,2,8,23,
Daily 4 Morning,3,6,2014,3,3,3,9,18,
Daily 4 Morning,3,7,2014,3,6,2,5,16,
Daily 4 Morning,3,8,2014,6,0,1,5,12,
Daily 4 Morning,3,10,2014,9,9,2,8,28,
Daily 4 Morning,3,11,2014,9,1,9,3,22,
Daily 4 Morning,3,12,2014,7,1,8,4,20,
Daily 4 Morning,3,13,2014,5,7,2,4,18,
Daily 4 Morning,3,14,2014,6,7,4,5,22,
Daily 4 Morning,3,15,2014,8,4,5,1,18,
Daily 4 Morning,3,17,2014,0,0,4,5,9,
Daily 4 Morning,3,18,2014,3,8,2,8,21,
Daily 4 Morning,3,19,2014,2,8,5,4,19,
Daily 4 Morning,3,20,2014,8,9,5,5,27,
Daily 4 Morning,3,21,2014,1,3,9,0,13,
Daily 4 Morning,3,22,2014,7,7,3,6,23,
Daily 4 Morning,3,24,2014,9,3,8,2,22,
Daily 4 Morning,3,25,2014,2,8,1,8,19,
Daily 4 Morning,3,26,2014,4,8,8,3,23,
Daily 4 Morning,3,27,2014,3,8,0,9,20,
Daily 4 Morning,3,28,2014,8,7,4,8,27,
Daily 4 Morning,3,29,2014,6,9,8,2,25,
Daily 4 Morning,3,31,2014,3,5,6,2,16,
Daily 4 Morning,4,1,2014,3,4,5,7,19,
Daily 4 Morning,4,2,2014,0,3,3,8,14,
Daily 4 Morning,4,3,2014,2,5,7,9,23,
Daily 4 Morning,4,4,2014,6,1,4,1,12,
Daily 4 Morning,4,5,2014,7,4,2,2,15,
Daily 4 Morning,4,7,2014,8,8,9,1,26,
Daily 4 Morning,4,8,2014,8,7,6,6,27,
Daily 4 Morning,4,9,2014,6,0,3,2,11,
Daily 4 Morning,4,10,2014,3,2,3,5,13,
Daily 4 Morning,4,11,2014,3,7,5,2,17,
Daily 4 Morning,4,12,2014,8,7,5,9,29,
Daily 4 Morning,4,14,2014,8,3,2,4,17,
Daily 4 Morning,4,15,2014,7,0,3,5,15,
Daily 4 Morning,4,16,2014,7,3,0,4,14,
Daily 4 Morning,4,17,2014,7,6,0,2,15,
Daily 4 Morning,4,18,2014,9,0,6,4,19,
Daily 4 Morning,4,19,2014,1,3,1,3,8,
Daily 4 Morning,4,21,2014,6,2,1,2,11,
Daily 4 Morning,4,22,2014,5,8,6,8,27,
Daily 4 Morning,4,23,2014,2,4,1,1,8,
Daily 4 Morning,4,24,2014,4,7,3,2,16,
Daily 4 Morning,4,25,2014,0,8,9,3,20,
Daily 4 Morning,4,26,2014,6,5,2,5,18,
Daily 4 Morning,4,28,2014,7,2,1,4,14,
Daily 4 Morning,4,29,2014,3,3,5,1,12,
Daily 4 Morning,4,30,2014,5,2,6,1,14,
Daily 4 Morning,5,1,2014,7,0,8,5,20,
Daily 4 Morning,5,2,2014,2,3,4,3,12,
Daily 4 Morning,5,3,2014,1,1,7,6,15,
Daily 4 Morning,5,5,2014,2,8,2,9,21,
Daily 4 Morning,5,6,2014,5,2,7,4,18,
Daily 4 Morning,5,7,2014,8,7,2,2,19,
Daily 4 Morning,5,8,2014,9,6,3,5,23,
Daily 4 Morning,5,9,2014,5,0,4,9,18,
Daily 4 Morning,5,10,2014,0,8,5,9,22,
Daily 4 Morning,5,12,2014,7,2,9,3,21,
Daily 4 Morning,5,13,2014,3,3,7,8,21,
Daily 4 Morning,5,14,2014,6,7,5,7,25,
Daily 4 Morning,5,15,2014,6,2,5,6,19,
Daily 4 Morning,5,16,2014,5,6,8,6,25,
Daily 4 Morning,5,17,2014,2,4,2,7,15,
Daily 4 Morning,5,19,2014,2,7,2,3,14,
Daily 4 Morning,5,20,2014,0,3,4,6,13,
Daily 4 Morning,5,21,2014,6,1,1,9,17,
Daily 4 Morning,5,22,2014,8,1,6,5,20,
Daily 4 Morning,5,23,2014,6,4,6,0,16,
Daily 4 Morning,5,24,2014,8,6,4,3,21,
Daily 4 Morning,5,26,2014,2,2,3,5,12,
Daily 4 Morning,5,27,2014,6,7,0,7,20,
Daily 4 Morning,5,28,2014,3,7,9,8,27,
Daily 4 Morning,5,29,2014,6,1,9,9,25,
Daily 4 Morning,5,30,2014,4,2,1,8,15,
Daily 4 Morning,5,31,2014,6,1,5,1,13,
Daily 4 Morning,6,2,2014,8,5,5,6,24,
Daily 4 Morning,6,3,2014,0,8,5,4,17,
Daily 4 Morning,6,4,2014,8,7,7,3,25,
Daily 4 Morning,6,5,2014,5,7,5,6,23,
Daily 4 Morning,6,6,2014,1,4,5,7,17,
Daily 4 Morning,6,7,2014,1,5,5,9,20,
Daily 4 Morning,6,9,2014,2,1,9,4,16,
Daily 4 Morning,6,10,2014,8,2,5,9,24,
Daily 4 Morning,6,11,2014,1,7,3,3,14,
Daily 4 Morning,6,12,2014,4,7,0,4,15,
Daily 4 Morning,6,13,2014,9,4,4,7,24,
Daily 4 Morning,6,14,2014,1,0,4,8,13,
Daily 4 Morning,6,16,2014,2,4,3,4,13,
Daily 4 Morning,6,17,2014,8,2,9,9,28,
Daily 4 Morning,6,18,2014,0,7,2,6,15,
Daily 4 Morning,6,19,2014,5,9,9,8,31,
Daily 4 Morning,6,20,2014,6,1,7,0,14,
Daily 4 Morning,6,21,2014,8,8,1,8,25,
Daily 4 Morning,6,23,2014,2,9,1,6,18,
Daily 4 Morning,6,24,2014,8,8,5,7,28,
Daily 4 Morning,6,25,2014,8,3,1,6,18,
Daily 4 Morning,6,26,2014,6,4,9,4,23,
Daily 4 Morning,6,27,2014,4,7,4,3,18,
Daily 4 Morning,6,28,2014,9,2,6,9,26,
Daily 4 Morning,6,30,2014,3,6,3,0,12,
Daily 4 Morning,7,1,2014,7,8,1,7,23,
Daily 4 Morning,7,2,2014,0,5,7,1,13,
Daily 4 Morning,7,3,2014,6,5,5,2,18,
Daily 4 Morning,7,4,2014,2,6,9,9,26,
Daily 4 Morning,7,5,2014,0,9,2,0,11,
Daily 4 Morning,7,7,2014,0,5,3,4,12,
Daily 4 Morning,7,8,2014,1,5,2,8,16,
Daily 4 Morning,7,9,2014,0,8,4,0,12,
Daily 4 Morning,7,10,2014,2,2,1,9,14,
Daily 4 Morning,7,11,2014,3,3,9,5,20,
Daily 4 Morning,7,12,2014,8,5,9,9,31,
Daily 4 Morning,7,14,2014,6,8,2,3,19,
Daily 4 Morning,7,15,2014,4,7,5,3,19,
Daily 4 Morning,7,16,2014,5,4,2,3,14,
Daily 4 Morning,7,17,2014,9,4,3,6,22,
Daily 4 Morning,7,18,2014,9,0,3,5,17,
Daily 4 Morning,7,19,2014,6,5,8,7,26,
Daily 4 Morning,7,21,2014,3,0,3,6,12,
Daily 4 Morning,7,22,2014,2,6,5,9,22,
Daily 4 Morning,7,23,2014,8,3,6,1,18,
Daily 4 Morning,7,24,2014,1,6,0,1,8,
Daily 4 Morning,7,25,2014,3,4,2,4,13,
Daily 4 Morning,7,26,2014,4,2,0,8,14,
Daily 4 Morning,7,28,2014,5,2,2,8,17,
Daily 4 Morning,7,29,2014,7,9,5,1,22,
Daily 4 Morning,7,30,2014,4,0,8,5,17,
Daily 4 Morning,7,31,2014,0,3,9,3,15,
Daily 4 Morning,8,1,2014,0,8,2,6,16,
Daily 4 Morning,8,2,2014,6,1,4,1,12,
Daily 4 Morning,8,4,2014,5,4,1,9,19,
Daily 4 Morning,8,5,2014,1,1,8,2,12,
Daily 4 Morning,8,6,2014,3,9,1,2,15,
Daily 4 Morning,8,7,2014,6,9,9,5,29,
Daily 4 Morning,8,8,2014,6,7,4,9,26,
Daily 4 Morning,8,9,2014,5,5,0,0,10,
Daily 4 Morning,8,11,2014,3,1,0,1,5,
Daily 4 Morning,8,12,2014,8,5,9,6,28,
Daily 4 Morning,8,13,2014,7,3,5,7,22,
Daily 4 Morning,8,14,2014,1,3,9,7,20,
Daily 4 Morning,8,15,2014,3,3,3,6,15,
Daily 4 Morning,8,16,2014,4,0,2,2,8,
Daily 4 Morning,8,18,2014,7,6,6,6,25,
Daily 4 Morning,8,19,2014,5,9,7,2,23,
Daily 4 Morning,8,20,2014,7,3,3,9,22,
Daily 4 Morning,8,21,2014,6,9,9,7,31,
Daily 4 Morning,8,22,2014,8,6,9,2,25,
Daily 4 Morning,8,23,2014,5,1,3,2,11,
Daily 4 Morning,8,25,2014,5,0,4,0,9,
Daily 4 Morning,8,26,2014,1,8,8,6,23,
Daily 4 Morning,8,27,2014,0,1,8,2,11,
Daily 4 Morning,8,28,2014,5,5,5,0,15,
Daily 4 Morning,8,29,2014,2,4,9,3,18,
Daily 4 Morning,8,30,2014,6,2,7,9,24,
Daily 4 Morning,9,1,2014,8,9,8,8,33,
Daily 4 Morning,9,2,2014,1,2,1,8,12,
Daily 4 Morning,9,3,2014,7,4,4,7,22,
Daily 4 Morning,9,4,2014,9,1,8,8,26,
Daily 4 Morning,9,5,2014,9,9,7,0,25,
Daily 4 Morning,9,6,2014,0,2,9,8,19,
Daily 4 Morning,9,8,2014,0,7,4,6,17,
Daily 4 Morning,9,9,2014,4,0,1,3,8,
Daily 4 Morning,9,10,2014,2,4,5,0,11,
Daily 4 Morning,9,11,2014,4,3,9,4,20,
Daily 4 Morning,9,12,2014,1,6,0,3,10,
Daily 4 Morning,9,13,2014,9,5,9,8,31,
Daily 4 Morning,9,15,2014,1,8,1,2,12,
Daily 4 Morning,9,16,2014,6,7,7,2,22,
Daily 4 Morning,9,17,2014,6,5,2,0,13,
Daily 4 Morning,9,18,2014,4,5,5,3,17,
Daily 4 Morning,9,19,2014,0,7,7,9,23,
Daily 4 Morning,9,20,2014,0,6,2,6,14,
Daily 4 Morning,9,22,2014,5,7,1,8,21,
Daily 4 Morning,9,23,2014,1,6,1,9,17,
Daily 4 Morning,9,24,2014,1,4,9,4,18,
Daily 4 Morning,9,25,2014,9,1,6,2,18,
Daily 4 Morning,9,26,2014,7,0,8,8,23,
Daily 4 Morning,9,27,2014,3,5,4,3,15,
Daily 4 Morning,9,29,2014,5,6,8,4,23,
Daily 4 Morning,9,30,2014,6,2,2,1,11,
Daily 4 Morning,10,1,2014,6,1,5,7,19,
Daily 4 Morning,10,2,2014,8,2,1,9,20,
Daily 4 Morning,10,3,2014,4,2,3,6,15,
Daily 4 Morning,10,4,2014,5,6,0,0,11,
Daily 4 Morning,10,6,2014,0,9,6,3,18,
Daily 4 Morning,10,7,2014,3,6,3,3,15,
Daily 4 Morning,10,8,2014,4,1,8,7,20,
Daily 4 Morning,10,9,2014,5,5,1,6,17,
Daily 4 Morning,10,10,2014,3,8,1,9,21,
Daily 4 Morning,10,11,2014,2,6,6,1,15,
Daily 4 Morning,10,13,2014,2,1,5,2,10,
Daily 4 Morning,10,14,2014,6,2,3,1,12,
Daily 4 Morning,10,15,2014,7,2,8,7,24,
Daily 4 Morning,10,16,2014,6,8,5,6,25,
Daily 4 Morning,10,17,2014,5,0,6,3,14,
Daily 4 Morning,10,18,2014,3,5,3,5,16,
Daily 4 Morning,10,20,2014,1,4,0,0,5,
Daily 4 Morning,10,21,2014,9,7,9,9,34,
Daily 4 Morning,10,22,2014,8,1,7,2,18,
Daily 4 Morning,10,23,2014,8,6,0,3,17,
Daily 4 Morning,10,24,2014,8,8,3,6,25,
Daily 4 Morning,10,25,2014,9,6,9,1,25,
Daily 4 Morning,10,27,2014,8,6,4,4,22,
Daily 4 Morning,10,28,2014,4,9,3,9,25,
Daily 4 Morning,10,29,2014,1,0,7,1,9,
Daily 4 Morning,10,30,2014,8,7,2,3,20,
Daily 4 Morning,10,31,2014,4,1,0,9,14,
Daily 4 Morning,11,1,2014,7,7,9,7,30,
Daily 4 Morning,11,3,2014,7,6,1,1,15,
Daily 4 Morning,11,4,2014,1,2,0,2,5,
Daily 4 Morning,11,5,2014,7,5,9,0,21,
Daily 4 Morning,11,6,2014,6,0,3,7,16,
Daily 4 Morning,11,7,2014,0,6,8,5,19,
Daily 4 Morning,11,8,2014,7,5,1,6,19,
Daily 4 Morning,11,10,2014,2,8,0,6,16,
Daily 4 Morning,11,11,2014,0,4,6,5,15,
Daily 4 Morning,11,12,2014,0,3,4,8,15,
Daily 4 Morning,11,13,2014,4,7,0,6,17,
Daily 4 Morning,11,14,2014,7,4,2,3,16,
Daily 4 Morning,11,15,2014,3,7,0,9,19,
Daily 4 Morning,11,17,2014,8,9,2,6,25,
Daily 4 Morning,11,18,2014,4,8,9,2,23,
Daily 4 Morning,11,19,2014,7,0,6,9,22,
Daily 4 Morning,11,20,2014,8,6,5,6,25,
Daily 4 Morning,11,21,2014,6,1,0,7,14,
Daily 4 Morning,11,22,2014,5,5,4,3,17,
Daily 4 Morning,11,24,2014,1,6,5,2,14,
Daily 4 Morning,11,25,2014,3,3,1,3,10,
Daily 4 Morning,11,26,2014,0,9,4,5,18,
Daily 4 Morning,11,27,2014,1,1,2,6,10,
Daily 4 Morning,11,28,2014,5,7,4,0,16,
Daily 4 Morning,11,29,2014,9,0,3,3,15,
Daily 4 Morning,12,1,2014,3,6,6,3,18,
Daily 4 Morning,12,2,2014,5,9,8,2,24,
Daily 4 Morning,12,3,2014,6,2,1,3,12,
Daily 4 Morning,12,4,2014,2,5,8,8,23,
Daily 4 Morning,12,5,2014,7,0,1,0,8,
Daily 4 Morning,12,6,2014,2,1,7,5,15,
Daily 4 Morning,12,8,2014,1,8,8,8,25,
Daily 4 Morning,12,9,2014,6,3,2,2,13,
Daily 4 Morning,12,10,2014,4,1,7,8,20,
Daily 4 Morning,12,11,2014,1,6,5,2,14,
Daily 4 Morning,12,12,2014,4,6,6,4,20,
Daily 4 Morning,12,13,2014,2,8,5,4,19,
Daily 4 Morning,12,15,2014,7,5,8,2,22,
Daily 4 Morning,12,16,2014,9,5,4,9,27,
Daily 4 Morning,12,17,2014,3,9,8,3,23,
Daily 4 Morning,12,18,2014,7,4,2,1,14,
Daily 4 Morning,12,19,2014,1,0,4,1,6,
Daily 4 Morning,12,20,2014,2,5,7,7,21,
Daily 4 Morning,12,22,2014,9,0,3,1,13,
Daily 4 Morning,12,23,2014,0,4,8,7,19,
Daily 4 Morning,12,24,2014,4,9,0,6,19,
Daily 4 Morning,12,25,2014,7,1,9,8,25,
Daily 4 Morning,12,26,2014,9,1,9,8,27,
Daily 4 Morning,12,27,2014,0,5,5,2,12,
Daily 4 Morning,12,29,2014,9,4,1,7,21,
Daily 4 Morning,12,30,2014,7,9,0,8,24,
Daily 4 Morning,12,31,2014,0,0,1,3,4,
Daily 4 Morning,1,1,2015,0,9,3,6,18,
Daily 4 Morning,1,2,2015,8,6,9,2,25,
Daily 4 Morning,1,3,2015,8,3,7,0,18,
Daily 4 Morning,1,5,2015,5,6,4,6,21,
Daily 4 Morning,1,6,2015,0,7,5,0,12,
Daily 4 Morning,1,7,2015,6,6,0,5,17,
Daily 4 Morning,1,8,2015,0,8,9,8,25,
Daily 4 Morning,1,9,2015,6,9,7,6,28,
Daily 4 Morning,1,10,2015,5,2,5,0,12,
Daily 4 Morning,1,12,2015,4,8,6,5,23,
Daily 4 Morning,1,13,2015,2,6,6,7,21,
Daily 4 Morning,1,14,2015,5,7,9,4,25,
Daily 4 Morning,1,15,2015,6,8,6,8,28,
Daily 4 Morning,1,16,2015,6,6,7,3,22,
Daily 4 Morning,1,17,2015,7,5,6,4,22,
Daily 4 Morning,1,19,2015,5,9,1,6,21,
Daily 4 Morning,1,20,2015,9,9,5,8,31,
Daily 4 Morning,1,21,2015,8,2,6,3,19,
Daily 4 Morning,1,22,2015,5,9,7,0,21,
Daily 4 Morning,1,23,2015,5,8,3,3,19,
Daily 4 Morning,1,24,2015,4,9,4,8,25,
Daily 4 Morning,1,26,2015,0,7,5,2,14,
Daily 4 Morning,1,27,2015,3,4,2,9,18,
Daily 4 Morning,1,28,2015,4,6,5,8,23,
Daily 4 Morning,1,29,2015,1,1,8,2,12,
Daily 4 Morning,1,30,2015,1,5,7,7,20,
Daily 4 Morning,1,31,2015,3,1,9,4,17,
Daily 4 Morning,2,2,2015,2,5,9,0,16,
Daily 4 Morning,2,3,2015,4,4,2,8,18,
Daily 4 Morning,2,4,2015,9,4,2,2,17,
Daily 4 Morning,2,5,2015,3,3,7,6,19,
Daily 4 Morning,2,6,2015,6,4,7,1,18,
Daily 4 Morning,2,7,2015,7,4,0,7,18,
Daily 4 Morning,2,9,2015,1,6,0,5,12,
Daily 4 Morning,2,10,2015,0,8,3,2,13,
Daily 4 Morning,2,11,2015,6,8,5,3,22,
Daily 4 Morning,2,12,2015,3,6,4,4,17,
Daily 4 Morning,2,13,2015,2,2,6,8,18,
Daily 4 Morning,2,14,2015,7,8,7,2,24,
Daily 4 Morning,2,16,2015,8,7,5,7,27,
Daily 4 Morning,2,17,2015,1,3,8,9,21,
Daily 4 Morning,2,18,2015,7,7,8,4,26,
Daily 4 Morning,2,19,2015,7,0,0,4,11,
Daily 4 Morning,2,20,2015,8,5,0,9,22,
Daily 4 Morning,2,21,2015,1,9,9,3,22,
Daily 4 Morning,2,23,2015,2,4,6,9,21,
Daily 4 Morning,2,24,2015,3,4,0,8,15,
Daily 4 Morning,2,25,2015,9,3,2,7,21,
Daily 4 Morning,2,26,2015,0,7,8,1,16,
Daily 4 Morning,2,27,2015,4,6,9,1,20,
Daily 4 Morning,2,28,2015,8,9,8,0,25,
Daily 4 Morning,3,2,2015,4,2,2,1,9,
Daily 4 Morning,3,3,2015,2,7,9,9,27,
Daily 4 Morning,3,4,2015,1,6,9,3,19,
Daily 4 Morning,3,5,2015,9,3,5,4,21,
Daily 4 Morning,3,6,2015,2,4,1,8,15,
Daily 4 Morning,3,7,2015,5,7,6,9,27,
Daily 4 Morning,3,9,2015,6,5,6,9,26,
Daily 4 Morning,3,10,2015,3,6,8,1,18,
Daily 4 Morning,3,11,2015,6,5,7,7,25,
Daily 4 Morning,3,12,2015,2,4,2,9,17,
Daily 4 Morning,3,13,2015,5,8,3,4,20,
Daily 4 Morning,3,14,2015,8,4,9,4,25,
Daily 4 Morning,3,16,2015,1,7,0,8,16,
Daily 4 Morning,3,17,2015,6,3,7,8,24,
Daily 4 Morning,3,18,2015,2,3,0,9,14,
Daily 4 Morning,3,19,2015,9,7,2,4,22,
Daily 4 Morning,3,20,2015,7,4,4,8,23,
Daily 4 Morning,3,21,2015,9,7,6,3,25,
Daily 4 Morning,3,23,2015,3,0,9,5,17,
Daily 4 Morning,3,24,2015,4,0,1,3,8,
Daily 4 Morning,3,25,2015,5,0,1,8,14,
Daily 4 Morning,3,26,2015,2,8,1,1,12,
Daily 4 Morning,3,27,2015,8,5,7,6,26,
Daily 4 Morning,3,28,2015,2,3,6,4,15,
Daily 4 Morning,3,30,2015,8,2,1,2,13,
Daily 4 Morning,3,31,2015,8,5,0,0,13,
Daily 4 Morning,4,1,2015,4,0,2,3,9,
Daily 4 Morning,4,2,2015,5,4,8,0,17,
Daily 4 Morning,4,3,2015,0,1,8,6,15,
Daily 4 Morning,4,4,2015,1,1,9,4,15,
Daily 4 Morning,4,6,2015,4,9,1,9,23,
Daily 4 Morning,4,7,2015,1,7,8,6,22,
Daily 4 Morning,4,8,2015,3,2,4,2,11,
Daily 4 Morning,4,9,2015,8,1,9,3,21,
Daily 4 Morning,4,10,2015,0,7,2,1,10,
